MAE,RMSE,MAPE,Bias,cohort,model,horizon
883.2244700773083,1038.2511795753414,10.21511420240441,-306.04640664193346,hotday_all,LightGBM,29
912.4318392716189,1088.9207950793239,10.470704957165735,-340.00960039158406,hotday_all,LightGBM,30
1003.5662505644469,1175.552254876335,11.573509145485948,-366.7640230828878,hotday_all,LightGBM,31
1027.0803237571251,1227.6695619311931,11.825781805692461,-378.80068533331854,hotday_all,LightGBM,32
1049.217898208302,1241.0356082653936,12.17081718020352,-435.9093151949947,hotday_all,LightGBM,33
1126.3666664171665,1352.3468182714348,12.977590442960713,-465.4912309053808,hotday_all,LightGBM,34
1044.2842544782109,1215.987749264981,12.310288490508098,-303.28654674630025,hotday_all,LightGBM,35
1073.4801641093338,1215.6001314818807,12.848460847077359,-249.38763243163848,hotday_all,LightGBM,36
1073.1118342788081,1207.2761944703284,12.797069124387884,-267.23851433604506,hotday_all,LightGBM,37
1091.141407640356,1255.1638376069059,12.988054914808153,-307.48215534818104,hotday_all,LightGBM,38
1045.1224729648986,1162.5060548545684,12.80753577736006,-200.32284970249427,hotday_all,LightGBM,39
1074.806434777508,1229.186457262865,13.133345552916657,-160.1982498003298,hotday_all,LightGBM,40
1060.748537829598,1190.2539163221063,13.115750256757636,-182.2582161277425,hotday_all,LightGBM,41
1051.5913663199963,1216.4470766488746,12.995485113746415,-151.07647710987447,hotday_all,LightGBM,42
1015.0074594824856,1202.3793681398868,12.601326683538417,-84.86706907594508,hotday_all,LightGBM,43
1103.7039981748142,1342.7477827203638,13.668541575143736,-95.6514277084926,hotday_all,LightGBM,44
1054.6713993296596,1282.7351651531553,13.33565485808131,-8.580446742597658,hotday_all,LightGBM,45
1013.0196029392997,1249.350651464616,12.586611212707632,-49.111287624402955,hotday_all,LightGBM,46
1062.1718777105475,1356.3089525629382,13.387137038888596,35.77803066382026,hotday_all,LightGBM,47
1107.5949492348366,1405.3094653683784,13.846097100856056,27.205818593725926,hotday_all,LightGBM,48
1613.0577777777778,1953.0108050284884,18.15369494350485,-922.0908641975309,hotday_all,Operator(op_24h_latest),1
1729.7637037037039,2079.6694077884968,19.213040993293838,-1131.3708641975309,hotday_all,Operator(op_24h_latest),2
1852.7204938271607,2227.8058024710003,20.307553749568058,-1358.6819753086418,hotday_all,Operator(op_24h_latest),3
2000.21,2420.1729454692863,21.613402768671268,-1643.5013580246916,hotday_all,Operator(op_24h_latest),4
