"year","month","date","n_obv","n_hot","n_cold","min_temp","max_temp","min_actual","max_actual","mean_actual","sum_actual","min_forecast","max_forecast","mean_forecast","sum_forecast","mae","rmse","max_abs_error","mae_hot","mae_normal","mae_cold","rmse_hot","rmse_normal","rmse_cold"
"2010",2,2010-02-21,48,0,0,18.3,32.9,6462.58,10992,8813.95354166667,423069.77,6452.92,10939.12,8803.095,422548.56,118.363125,163.080729145874,558.629999999999,NA,118.363125,NA,NA,163.080729145874,NA
"2010",2,2010-02-22,48,1,0,19.7,35.4,6771.53,13377.27,10459.5002083333,502056.01,6670.87,13269.43,10404.36625,499409.58,103.220625,125.789782151612,269.219999999999,1.53395833333332,101.686666666667,NA,10.6275750801079,125.340033276151,NA
"2010",2,2010-02-23,47,0,0,21.1,28.3,7096.65,11563.93,9592.4570212766,450845.48,6959.66,11804.84,9613.68510638298,451843.2,121.833617021277,155.576128098248,387.939999999999,NA,121.833617021277,NA,NA,155.576128098248,NA
"2010",2,2010-02-24,45,0,0,20,23.9,6640.7,10103.82,8921.62622222222,401473.18,6492.99,10351.78,8941.43,402364.35,103.327777777778,120.410970384301,258.140000000001,NA,103.327777777778,NA,NA,120.410970384301,NA
"2010",2,2010-02-25,47,0,0,14.6,25.1,6531.45,10251.46,8966.51872340426,421426.38,6559.81,10252.75,8967.68936170213,421481.4,58.4846808510638,69.5916864379402,156.49,NA,58.4846808510638,NA,NA,69.5916864379402,NA
"2010",2,2010-02-26,48,0,0,15.5,25.9,6529.06,10217.14,8893.76375,426900.66,6509.6,10281.31,8944.456875,429333.93,82.1456249999999,101.293255585371,262.799999999999,NA,82.1456249999999,NA,NA,101.293255585371,NA
"2010",2,2010-02-27,47,0,0,15.2,29.1,6489.14,10028.25,8529.28170212766,400876.24,6580.84,10030.88,8552.20361702128,401953.57,79.9976595744682,94.4240948221308,231.58,NA,79.9976595744682,NA,NA,94.4240948221308,NA
"2010",2,2010-02-28,47,0,0,19,27.2,6483.9,9513.77,8256.06255319149,388034.94,6528.08,9715.55,8329.48127659574,391485.62,92.1689361702126,126.86161993592,385.199999999999,NA,92.1689361702126,NA,NA,126.86161993592,NA
"2010",3,2010-03-01,48,0,0,16.7,20.5,6378.27,9813.83,8560.79895833333,410918.35,6236.31,9877.83,8581.9325,411932.76,110.443125,133.466762209111,319.059999999999,NA,110.443125,NA,NA,133.466762209111,NA
"2010",3,2010-03-02,47,0,0,18,21.1,6441.93,9559.15,8522.84042553191,400573.5,6467.31,9663.4,8575.87978723404,403066.35,77.5287234042553,97.9895814370731,242.549999999999,NA,77.5287234042553,NA,NA,97.9895814370731,NA
"2010",3,2010-03-03,48,0,0,14.9,23,6450.12,9806.22,8673.28958333333,416317.9,6548.6,9942.58,8752.00875,420096.42,80.8783333333334,93.1605785279733,245.440000000001,NA,80.8783333333334,NA,NA,93.1605785279733,NA
"2010",3,2010-03-04,47,0,0,14,25.7,6493.7,10110.66,8884.80212765957,417585.7,6596.37,10223.71,8949.12574468085,420608.91,99.3121276595744,112.645046608947,225.9,NA,99.3121276595744,NA,NA,112.645046608947,NA
"2010",3,2010-03-05,48,0,0,20.9,25,6698.57,10338.46,8935.68375,428912.82,6601.91,10547.18,8931.21770833333,428698.45,98.6564583333333,124.479300044559,307.84,NA,98.6564583333333,NA,NA,124.479300044559,NA
