"full_date","n_obv","min_temp","min_temp_time","max_temp","max_temp_time"
2010-08-13,48,5.7,"13/8/2010 5:30",17.6,"13/8/2010 12:00"
2010-08-14,56,4.5,"14/8/2010 6:09",20.6,"14/8/2010 15:00"
2010-08-15,50,11.7,"15/8/2010 2:30",19.5,"15/8/2010 15:30"
2010-08-16,48,8.8,"16/8/2010 2:00",18.3,"16/8/2010 15:00"
2010-08-17,48,4.4,"17/8/2010 23:00",17.1,"17/8/2010 14:00"
2010-08-18,50,2.8,"18/8/2010 5:00",18.9,"18/8/2010 14:30"
2010-08-19,54,11.6,"19/8/2010 21:30",24.3,"19/8/2010 14:00"
2010-08-20,48,5.3,"20/8/2010 7:00",18.4,"20/8/2010 14:30"
2010-08-21,53,6.1,"21/8/2010 2:30",16.3,"21/8/2010 14:30"
2010-08-22,48,5.1,"22/8/2010 5:30",17.6,"22/8/2010 14:00"
2010-08-23,50,10.1,"23/8/2010 0:00",15.1,"23/8/2010 16:00"
2010-08-24,47,7.5,"24/8/2010 7:00",19.1,"24/8/2010 14:30"
2010-08-25,48,6.9,"25/8/2010 7:00",16.9,"25/8/2010 14:00"
2010-08-26,47,9.2,"26/8/2010 6:30",16.6,"26/8/2010 12:00"
2010-08-27,48,8.8,"27/8/2010 0:00",18.8,"27/8/2010 13:30"
2010-08-28,48,5,"28/8/2010 6:00",15.8,"28/8/2010 11:30"
2010-08-29,48,5.3,"29/8/2010 6:30",18.1,"29/8/2010 13:00"
2010-08-30,48,7.3,"30/8/2010 5:30",17.7,"30/8/2010 14:30"
2010-08-31,52,8.8,"31/8/2010 6:49",21.2,"31/8/2010 13:30"
2010-09-01,50,9.9,"1/9/2010 1:30",25.1,"1/9/2010 14:00"
2010-09-02,64,13.7,"2/9/2010 23:30",17.8,"2/9/2010 11:00"
2010-09-03,63,13,"3/9/2010 6:00",16.9,"3/9/2010 13:00"
2010-09-04,56,13.8,"4/9/2010 2:00",20.6,"4/9/2010 21:44"
2010-09-05,55,13.4,"5/9/2010 20:00",20.6,"5/9/2010 13:30"
2010-09-06,48,7.6,"6/9/2010 23:30",19.5,"6/9/2010 13:30"
2010-09-07,48,6.1,"7/9/2010 3:00",15.7,"7/9/2010 10:30"
2010-09-08,48,5.4,"8/9/2010 6:30",16.5,"8/9/2010 12:00"
